Thrift Shop,"Macklemore & Ryan Lewis featuring Wanz
","1
",2013
Blurred Lines,"Robin Thicke featuring T.I. and Pharrell Williams
","2
",2013
Radioactive,"Imagine Dragons
","3
",2013
Harlem Shake,"Baauer
","4
",2013
Can't Hold Us,"Macklemore & Ryan Lewis featuring Ray Dalton
","5
",2013
Mirrors,"Justin Timberlake
","6
",2013
Just Give Me a Reason,"Pink featuring Nate Ruess
","7
",2013
When I Was Your Man,"Bruno Mars
","8
",2013
Cruise,"Florida Georgia Line featuring Nelly
","9
",2013
Roar,"Katy Perry
","10
",2013
Locked Out of Heaven,"Bruno Mars
","11
",2013
Ho Hey,"The Lumineers
","12
",2013
Stay,"Rihanna featuring Mikky Ekko
","13
",2013
Get Lucky,"Daft Punk featuring Pharrell Williams
","14
",2013
Royals,"Lorde
","15
",2013
I Knew You Were Trouble,"Taylor Swift
","16
",2013
We Can't Stop,"Miley Cyrus
","17
",2013
Wrecking Ball,"Miley Cyrus
","18
",2013
Wake Me Up,"Avicii
","19
",2013
Suit & Tie,"Justin Timberlake featuring Jay-Z
","20
",2013
Cups (Pitch Perfect's When I'm Gone),"Anna Kendrick
","21
",2013
Holy Grail,"Jay-Z featuring Justin Timberlake
","22
",2013
Scream & Shout,"will.i.am featuring Britney Spears
","23
",2013
Clarity,"Zedd featuring Foxes
","24
",2013
Sail,"Awolnation
","25
",2013
Don't You Worry Child,"Swedish House Mafia featuring John Martin
","26
",2013
Diamonds,"Rihanna
","27
",2013
I Love It,"Icona Pop featuring Charli XCX
","28
",2013
Safe and Sound,"Capital Cities
","29
",2013
Treasure,"Bruno Mars
","30
",2013
The Way,"Ariana Grande featuring Mac Miller
","31
",2013
Started from the Bottom,"Drake
","32
",2013
Come & Get It,"Selena Gomez
","33
",2013
"Hold On, We're Going Home","Drake featuring Majid Jordan
","34
",2013
Daylight,"Maroon 5
","35
",2013
Feel This Moment,"Pitbull featuring Christina Aguilera
","36
",2013
Applause,"Lady Gaga
","37
",2013
One More Night,"Maroon 5
","38
",2013
Love Me,"Lil Wayne featuring Drake and Future
","39
",2013
My Songs Know What You Did in the Dark (Light Em Up),"Fall Out Boy
","40
",2013
Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar
","41
",2013
Beauty and a Beat,"Justin Bieber featuring Nicki Minaj
","42
",2013
Same Love,"Macklemore & Ryan Lewis featuring Mary Lambert
","43
",2013
Sweet Nothing,"Calvin Harris featuring Florence Welch
","44
",2013
Summertime Sadness,"Lana Del Rey and Cédric Gervais
","45
",2013
Home,"Phillip Phillips
","46
",2013
It's Time,"Imagine Dragons
","47
",2013
Power Trip,"J. Cole featuring Miguel
","48
",2013
Girl on Fire,"Alicia Keys
","49
",2013
Heart Attack,"Demi Lovato
","50
",2013
Love Somebody,"Maroon 5
","51
",2013
I Will Wait,"Mumford & Sons
","52
",2013
Try,"Pink
","53
",2013
Wagon Wheel,"Darius Rucker
","54
",2013
Gangnam Style,"Psy
","55
",2013
I Need Your Love,"Calvin Harris featuring Ellie Goulding
","56
",2013
Die Young,"Kesha
","57
",2013
Some Nights,"Fun
","58
",2013
Bad,"Wale featuring Tiara Thomas
","59
",2013
Boys 'Round Here,"Blake Shelton featuring Pistol Annies and Friends
","60
",2013
"Gone, Gone, Gone","Phillip Phillips
","61
",2013
Demons,"Imagine Dragons
","62
",2013
Counting Stars,"OneRepublic
","63
",2013
I Cry,"Flo Rida
","64
",2013
Little Talks,"Of Monsters and Men
","65
",2013
The Other Side,"Jason Derulo
","66
",2013
Berzerk,"Eminem
","67
",2013
Catch My Breath,"Kelly Clarkson
","68
",2013
Crash My Party,"Luke Bryan
","69
",2013
Pour It Up,"Rihanna
","70
",2013
22,"Taylor Swift
","71
",2013
I Want Crazy,"Hunter Hayes
","72
",2013
The Fox (What Does the Fox Say?),"Ylvis
","73
",2013
Best Song Ever,"One Direction
","74
",2013
The A Team,"Ed Sheeran
","75
",2013
Carry On,"Fun
","76
",2013
Highway Don't Care,"Tim McGraw featuring Taylor Swift and Keith Urban
","77
",2013
That's My Kind of Night,"Luke Bryan
","78
",2013
Swimming Pools (Drank),"Kendrick Lamar
","79
",2013
Sure Be Cool If You Did,"Blake Shelton
","80
",2013
#Beautiful,"Mariah Carey featuring Miguel
","81
",2013
Troublemaker,"Olly Murs featuring Flo Rida
","82
",2013
Body Party,"Ciara
","83
",2013
Adorn,"Miguel
","84
",2013
Hall of Fame,"The Script featuring will.i.am
","85
",2013
Let Me Love You (Until You Learn to Love Yourself),"Ne-Yo
","86
",2013
U.O.E.N.O.,"Rocko featuring Future and Rick Ross
","87
",2013
Next to Me,"Emeli Sandé
","88
",2013
Mama's Broken Heart,"Miranda Lambert
","89
",2013
It Goes Like This,"Thomas Rhett
","90
",2013
Bugatti,"Ace Hood featuring Future and Rick Ross
","91
",2013
Wanted,"Hunter Hayes
","92
",2013
Downtown,"Lady Antebellum
","93
",2013
Get Your Shine On,"Florida Georgia Line
","94
",2013
#thatPower,"will.i.am featuring Justin Bieber
","95
",2013
Brave,"Sara Bareilles
","96
",2013
Let Her Go,"Passenger
","97
",2013
Runnin' Outta Moonlight,"Randy Houser
","98
",2013
I'm Different,"2 Chainz
","99
",2013
Still Into You,"Paramore
","100
",2013
Happy,"Pharrell Williams
","1
",2014
Dark Horse,"Katy Perry featuring Juicy J
","2
",2014
All of Me,"John Legend
","3
",2014
Fancy,"Iggy Azalea featuring Charli XCX
","4
",2014
Counting Stars,"OneRepublic
","5
",2014
Talk Dirty,"Jason Derulo featuring 2 Chainz
","6
",2014
Rude,"Magic!
","7
",2014
All About That Bass,"Meghan Trainor
","8
",2014
Problem,"Ariana Grande featuring Iggy Azalea
","9
",2014
Stay with Me,"Sam Smith
","10
",2014
Timber,"Pitbull featuring Kesha
","11
",2014
Pompeii,"Bastille
","12
",2014
Shake It Off,"Taylor Swift
","13
",2014
Am I Wrong,"Nico & Vinz
","14
",2014
Turn Down for What,"DJ Snake and Lil Jon
","15
",2014
The Monster,"Eminem featuring Rihanna
","16
",2014
Say Something,"A Great Big World and Christina Aguilera
","17
",2014
Team,"Lorde
","18
",2014
Let Her Go,"Passenger
","19
",2014
Royals,"Lorde
","20
",2014
Let It Go,"Idina Menzel
","21
",2014
Wake Me Up,"Avicii
","22
",2014
Demons,"Imagine Dragons
","23
",2014
Story of My Life,"One Direction
","24
",2014
Chandelier,"Sia
","25
",2014
Black Widow,"Iggy Azalea featuring Rita Ora
","26
",2014
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj
","27
",2014
Latch,"Disclosure featuring Sam Smith
","28
",2014
Maps,"Maroon 5
","29
",2014
Loyal,"Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga
","30
",2014
Best Day of My Life,"American Authors
","31
",2014
Habits (Stay High),"Tove Lo
","32
",2014
Summer,"Calvin Harris
","33
",2014
Boom Clap,"Charli XCX
","34
",2014
Drunk in Love,"Beyoncé featuring Jay-Z
","35
",2014
Anaconda,"Nicki Minaj
","36
",2014
Break Free,"Ariana Grande featuring Zedd
","37
",2014
Bailando,"Enrique Iglesias featuring Descemer Bueno and Gente de Zona
","38
",2014
Burn,"Ellie Goulding
","39
",2014
Wiggle,"Jason Derulo featuring Snoop Dogg
","40
",2014
Rather Be,"Clean Bandit featuring Jess Glynne
","41
",2014
Don't Tell 'Em,"Jeremih featuring YG
","42
",2014
Show Me,"Kid Ink featuring Chris Brown
","43
",2014
Wrecking Ball,"Miley Cyrus
","44
",2014
Not a Bad Thing,"Justin Timberlake
","45
",2014
Roar,"Katy Perry
","46
",2014
Ain't It Fun,"Paramore
","47
",2014
The Man,"Aloe Blacc
","48
",2014
This Is How We Roll,"Florida Georgia Line featuring Luke Bryan
","49
",2014
Classic,"MKTO
","50
",2014
A Sky Full of Stars,"Coldplay
","51
",2014
Don't,"Ed Sheeran
","52
",2014
Na Na,"Trey Songz
","53
",2014
Hot Boy,"Bobby Shmurda
","54
",2014
"Hold On, We're Going Home","Drake featuring Majid Jordan
","55
",2014
Sing,"Ed Sheeran
","56
",2014
Radioactive,"Imagine Dragons
","57
",2014
My Hitta,"YG featuring Jeezy and Rich Homie Quan
","58
",2014
Cool Kids,"Echosmith
","59
",2014
Hey Brother,"Avicii
","60
",2014
Trumpets,"Jason Derulo
","61
",2014
Animals,"Maroon 5
","62
",2014
Burnin' It Down,"Jason Aldean
","63
",2014
Play It Again,"Luke Bryan
","64
",2014
2 On,"Tinashe featuring ScHoolboy Q
","65
",2014
Dirt,"Florida Georgia Line
","66
",2014
Love Runs Out,"OneRepublic
","67
",2014
Bottoms Up,"Brantley Gilbert
","68
",2014
Shower,"Becky G
","69
",2014
Me and My Broken Heart,"Rixton
","70
",2014
Animals,"Martin Garrix
","71
",2014
Lifestyle,"Rich Gang featuring Young Thug and Rich Homie Quan
","72
",2014
American Kids,"Kenny Chesney
","73
",2014
Brave,"Sara Bareilles
","74
",2014
Sweater Weather,"The Neighbourhood
","75
",2014
Leave the Night On,"Sam Hunt
","76
",2014
New Flame,"Chris Brown featuring Usher and Rick Ross
","77
",2014
Love Never Felt So Good,"Michael Jackson and Justin Timberlake
","78
",2014
Drunk on a Plane,"Dierks Bentley
","79
",2014
Birthday,"Katy Perry
","80
",2014
Bartender,"Lady Antebellum
","81
",2014
La La La,"Naughty Boy featuring Sam Smith
","82
",2014
Blurred Lines,"Robin Thicke featuring T.I. and Pharrell Williams
","83
",2014
Do What U Want,"Lady Gaga featuring R. Kelly
","84
",2014
Can't Remember to Forget You,"Shakira featuring Rihanna
","85
",2014
Amnesia,"5 Seconds of Summer
","86
",2014
No Mediocre,"T.I. featuring Iggy Azalea
","87
",2014
Come with Me Now,"KONGOS
","88
",2014
Believe Me,"Lil Wayne featuring Drake
","89
",2014
23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J
","90
",2014
Beachin',"Jake Owen
","91
",2014
White Walls,"Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis
","92
",2014
She Looks So Perfect,"5 Seconds of Summer
","93
",2014
Stay the Night,"Zedd featuring Hayley Williams
","94
",2014
Partition,"Beyoncé
","95
",2014
Studio,"ScHoolboy Q featuring BJ the Chicago Kid
","96
",2014
0 to 100 / The Catch Up,"Drake
","97
",2014
I Don't Dance,"Lee Brice
","98
",2014
Somethin' Bad,"Miranda Lambert and Carrie Underwood
","99
",2014
Adore You,"Miley Cyrus
","100
",2014
